PSNR    SAM     ERGAS   SSIM    RMSE
44.60	3.18	0.425	0.992	2.392
50.50	2.21	0.179	0.997	1.215
45.46	5.42	0.419	0.989	2.261
45.41	2.87	0.437	0.993	2.176
47.15	3.39	0.289	0.995	1.831
43.85	3.33	0.689	0.988	2.665
43.09	3.12	0.929	0.981	3.160
42.85	3.05	0.327	0.991	2.975
47.94	3.24	0.242	0.998	1.453
38.97	4.81	0.522	0.985	5.243
32.66	6.23	0.921	0.962	8.587
46.83	3.81	0.286	0.996	2.093
36.44	5.17	0.670	0.975	7.885
41.45	4.24	0.301	0.994	3.088
39.33	3.46	0.283	0.994	4.124
44.23	4.38	0.442	0.996	1.970
44.62	3.15	0.187	0.992	2.480
51.56	2.71	0.221	0.998	1.003
49.44	2.13	0.169	0.997	1.356
46.31	1.61	0.094	0.999	1.512
46.80	2.70	0.170	0.999	1.769
37.13	3.84	0.626	0.988	3.774
47.07	5.03	0.354	0.994	1.634
44.54	3.93	0.399	0.991	3.191
43.57	3.16	0.215	0.999	2.300
48.53	4.13	0.361	0.995	1.427
37.64	3.99	0.349	0.978	5.300
49.19	3.95	0.421	0.997	1.305
45.82	3.05	0.245	0.998	1.491
47.36	0.87	0.065	0.999	1.362
